project	canonical_url	category	why_included	verified_replacement_claim	cost_reality	setup_burden	proposed_verdict	placement	source_confidence	origin
Agent-Reach	https://github.com/Panniantong/Agent-Reach	agents_and_development	Best current example of the "free internet access for agents" pitch with an unusually explicit install/doctor boundary.	PARTIAL: it can replace some paid scraping/search/API access, but not platform risk or maintenance.	Local install is cheap; operational cost appears later in cookies, proxies, breakage and platform drift.	MEDIUM	TRY IT FIRST	FULL_PAGE	HIGH	SOURCE_CORPUS
OpenHands	https://github.com/OpenHands/OpenHands	agents_and_development	Important benchmark for the "replace Devin" claim and for how far open coding agents have moved toward full environment control.	PARTIAL: it replaces part of the coding-agent workflow, not the entire product or reliability envelope.	Expect model/API spend plus real environment supervision.	HIGH	TRY IT FIRST	FULL_PAGE	MEDIUM	SOURCE_CORPUS
Composio	https://github.com/ComposioHQ/composio	agents_and_development	Strong example of agent-tooling infrastructure that tries to replace dozens of bespoke integrations at once.	REAL for integration scaffolding, not for every hosted workflow layer above it.	Open source code does not remove auth, provider and maintenance complexity.	MEDIUM	TRY IT FIRST	FULL_PAGE	MEDIUM	SOURCE_CORPUS
Langfuse	https://github.com/langfuse/langfuse	agents_and_development	Good case study for observability software that sounds optional until prompts, costs and regressions pile up.	REAL against parts of LangSmith-style observability; the hosted convenience layer remains a separate question.	Storage, tracing volume and hosting still have a bill.	MEDIUM	TRY IT FIRST	FULL_PAGE	MEDIUM	SOURCE_CORPUS
ABVX Agent Skills	https://github.com/markoblogo/abvx-agent-skills	agents_and_development	Owner project earns inclusion because it addresses agent workflow discipline rather than pretending to be another app.	SITUATIONAL: replaces ad-hoc prompt packs, private playbooks and some review checklists more than any single SaaS product.	Cheap to install, but only valuable if a team already works seriously with coding agents.	LOW	TRY IT FIRST	FULL_PAGE	HIGH	OWNER_ADDED
AGENTS.md Generator	https://github.com/markoblogo/AGENTS.md_generator	agents_and_development	Owner project earns inclusion because repo instruction drift is real and the product has a clear bounded contract.	SITUATIONAL: replaces manual repo-agent contract maintenance, not a mainstream SaaS line item.	Low runtime cost; higher value only for repos that actually use agents in delivery.	LOW	SELF-HOST IT	FULL_PAGE	HIGH	OWNER_ADDED
Whisper	https://github.com/openai/whisper	search_voice_and_media	The cleanest reminder that one open model can erase a very specific subscription category while leaving the rest intact.	PARTIAL: it replaces transcription, not meeting-product UX, collaboration or workflow.	Local compute is free only if you ignore the machine and time.	LOW	SELF-HOST IT	FULL_PAGE	MEDIUM	SOURCE_CORPUS
Vane	https://github.com/ItzCrazyKns/Vane	search_voice_and_media	Useful because the source PDF is already stale here; the book should show how fast these categories rename and reposition themselves.	PARTIAL: self-hosted answer engines can substitute for some Perplexity-style queries, not the whole product experience.	Search quality and external model/search dependencies move the cost rather than remove it.	MEDIUM	TRY IT FIRST	FULL_PAGE	MEDIUM	SOURCE_CORPUS
Meetily	https://github.com/Zackriya-Solutions/meetily	search_voice_and_media	A broader local meeting stack than Whisper alone, useful for testing how much "meeting SaaS" can be decomposed.	PARTIAL: it can replace parts of Otter/Granola-style capture and summarization, not the full product promise.	Audio capture, transcription quality and local workflow rough edges remain your problem.	MEDIUM	TRY IT FIRST	FULL_PAGE	MEDIUM	SOURCE_CORPUS
Presenton	https://github.com/presenton/presenton	search_voice_and_media	Worth keeping because "generate a presentation" is exactly the kind of promise that looks cheaper than it is.	PARTIAL: can replace some prompt-to-slide software, not editorial judgment or design taste.	Model/API cost and cleanup still exist.	MEDIUM	JUST PAY FOR THE SAAS	FULL_PAGE	MEDIUM	SOURCE_CORPUS
MoneyPrinterTurbo	https://github.com/harry0703/MoneyPrinterTurbo	search_voice_and_media	Strong example of content automation ambition colliding with the cost of actually producing watchable media.	PARTIAL: replaces parts of AI video SaaS for teams willing to run the pipeline themselves.	API usage, rendering time, voice/media quality and workflow maintenance are the real bill.	MEDIUM	JUST PAY FOR THE SAAS	FULL_PAGE	MEDIUM	SOURCE_CORPUS
yt-dlp	https://github.com/yt-dlp/yt-dlp	search_voice_and_media	Useful as a blunt utility reminder: sometimes the best open-source alternative is not a platform but a ruthlessly competent tool.	REAL for download utility use cases; not a replacement for whole media workflows.	Operationally cheap, but legally and policy-wise context matters.	LOW	SELF-HOST IT	FULL_PAGE	HIGH	SOURCE_CORPUS
n8n	https://github.com/n8n-io/n8n	automation_and_business_plumbing	The default serious candidate when someone says they want to stop paying Zapier.	REAL for a large class of automation tasks.	The invoice becomes server uptime, upgrades, debugging and process ownership.	MEDIUM	TRY IT FIRST	FULL_PAGE	HIGH	SOURCE_CORPUS
NocoDB	https://github.com/nocodb/nocodb	automation_and_business_plumbing	Keeps the database-first Airtable alternative slot without bloating the book with near-duplicates.	PARTIAL to REAL depending on whether you already have SQL underneath.	The cheap part is the UI; the expensive part is still data design and responsibility.	MEDIUM	TRY IT FIRST	FULL_PAGE	HIGH	SOURCE_CORPUS
Twenty	https://github.com/twentyhq/twenty	automation_and_business_plumbing	Best current CRM case for testing how far open source really gets toward Salesforce-class ambition.	PARTIAL: clearly a real CRM, but "replaces Salesforce" is much too broad.	Self-hosting still means running a CRM platform with PostgreSQL, Redis and queues or paying for the cloud version.	HIGH	TRY IT FIRST	FULL_PAGE	HIGH	SOURCE_CORPUS
