number	source_category	source_name	source_repo_url	source_description_claim	claimed_paid_replacement	canonical_repo	health	license	cost_class	self_hostable	free_local_possible	external_services_required	replacement_claim_verdict	abvx_value	abvx_gap_targets	notes
1	free_tools	free-for-dev	github.com/ripienaar/free-for-dev	Giant catalog of free hosting, databases, APIs, monitoring, email and security offers.	десятки подписок для разработчиков	ripienaar/free-for-dev	maintained	unclear_from_repo_metadata	FREE_TIER	no	no	no	MISLEADING	REFERENCE_ONLY	research_engine;project_intelligence	Catalog, not a direct SaaS replacement product.
2	ai_agents_coding	Agent-Reach	github.com/Panniantong/Agent-Reach	Agent web reach across social and developer sites without per-site paid APIs.	Apify и платные API соцсетей	Panniantong/Agent-Reach	maintained	MIT	FREE_LOCAL	yes	yes	no	PARTIAL	PILOT_WHEN_NEEDED	external_actions;research_engine	Strong ABVX fit for bounded external reach, but still a scraping/runtime risk surface.
3	ai_agents_coding	OpenHands	github.com/OpenHands/OpenHands	AI-driven development agent that can inspect code, edit files and run commands.	Devin	OpenHands/OpenHands	maintained	MIT	PAID_API	yes	no	yes	PARTIAL	REFERENCE_ONLY	execution	Current ABVX already has Codex-centric execution; not a clear donor priority now.
4	ai_agents_coding	Continue	github.com/continuedev/continue	Open-source coding agent and assistant for IDE, terminal and CI.	частично Cursor и GitHub Copilot	continuedev/continue	maintained	Apache-2.0	LOW_COST_API	yes	partial	yes	PARTIAL	REFERENCE_ONLY	execution	Closer to developer-seat tooling than to an ABVX platform donor.
5	ai_agents_coding	Composio	github.com/ComposioHQ/composio	Integration substrate for agents with authentication, toolkits and MCP/server support.	самописные API-интеграции и платформы инструментов для агентов	ComposioHQ/composio	maintained	MIT	LOW_COST_API	yes	no	yes	FAIR	PILOT_WHEN_NEEDED	external_actions;opportunity_engine	Strong donor candidate when ABVX needs repeated authenticated external actions.
6	ai_agents_coding	Langfuse	github.com/langfuse/langfuse	LLM observability, evals, prompt management and metrics platform.	LangSmith	langfuse/langfuse	maintained	NOASSERTION	LOW_COST_API	yes	no	yes	FAIR	PILOT_WHEN_NEEDED	project_intelligence;research_engine	Self-hostable but licensing/feature boundary needs deeper review before admission.
7	ai_search_voice_meetings	Whisper	github.com/openai/whisper	Local speech-to-text model family for audio/video transcription.	Otter.ai и платные сервисы транскрибации	openai/whisper	maintained	MIT	FREE_LOCAL	yes	yes	no	PARTIAL	PILOT_WHEN_NEEDED	media_resource	Transcription only; does not replace the broader meeting-product layer by itself.
8	ai_search_voice_meetings	Chatterbox TTS	github.com/resemble-ai/chatterbox	Open-source text-to-speech and voice cloning model.	частично ElevenLabs	resemble-ai/chatterbox	maintained	MIT	FREE_LOCAL	yes	partial	no	PARTIAL	PILOT_WHEN_NEEDED	media_resource	Plausible media donor, but output quality and compute cost still need a real pilot.
9	ai_search_voice_meetings	Perplexica	github.com/ItzCrazyKns/Perplexica	Self-hostable answering engine over web search and sources.	Perplexity Pro	ItzCrazyKns/Vane	alive	MIT	LOW_COST_API	yes	no	yes	PARTIAL	REFERENCE_ONLY	research_engine	Source PDF is already outdated on identity: canonical repo now presents as Vane.
10	ai_search_voice_meetings	Meetily	github.com/Zackriya-Solutions/meetily	Local-first meeting recorder, transcription and summarization workflow.	Otter.ai и Granola	Zackriya-Solutions/meetily	maintained	MIT	FREE_LOCAL	yes	yes	no	PARTIAL	REFERENCE_ONLY	media_resource	Broader than Whisper, but still a product-specific meeting stack rather than a clean platform donor.
